Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470,CP_Elec_6.3x7.7,25.2,3.25,180.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.4875,10.2,180.0,top
C601,4u7,C_0805_2012Metric,12.92,52.93,90.0,top
C701,10u,C_0805_2012Metric,0.6,28.45,90.0,top
C702,100uF,CP_EIA-3528-21_Kemet-B,-7.25,27.3,90.0,top
C703,10u,C_0805_2012Metric,-3.75,26.1,0.0,top
C704,10u,C_0805_2012Metric,49.09,14.785,0.0,top
C705,10u,C_0805_2012Metric,49.09,12.81,0.0,top
C706,100n,C_0402_1005Metric,47.89,10.885,180.0,top
C707,4.7nF,C_0402_1005Metric,49.74,11.355,180.0,top
C708,10u,C_0805_2012Metric,44.31,13.55,0.0,top
C709,10u,C_0805_2012Metric,40.9,13.55,180.0,top
C710,10u,C_0805_2012Metric,48.8,47.125,0.0,top
C711,10u,C_0805_2012Metric,27.7,46.35,0.0,top
C712,100n,C_0402_1005Metric,46.45,45.47,90.0,top
CN1,SM02B-SRSS-TB (LF)(SN),CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,-4.2,50.0125,180.0,bottom
D502,RCLAMP0502BA,SOT-416,13.17,49.08,0.0,top
D605,GREEN,LED-SMD_L1.7-W0.6-RD,53.79,21.73,-90.0,top
D606,GREEN,LED-SMD_L1.7-W0.6-RD,53.79,24.67,-90.0,top
D701,RCLAMP0502BA,SOT-416,-3.3,37.95,90.0,bottom
D702,GREEN,LED-SMD_L1.7-W0.6-RD,20.61,56.45,0.0,top
J1,GPIO1,IDC-Header_2x06_P2.54mm_Vertical,1.43,12.88,180.0,top
J101,ComputeModule5-CM5,Raspberry-Pi-5-Compute-Module_GPIO,49.6,27.75,0.0,bottom
J102,ComputeModule5-CM5,Raspberry-Pi-5-Compute-Module_HSS,32.155,27.75,0.0,bottom
J2,PWR,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,9.05,4.4,90.0,top
J5,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7051x,-3.705,34.04,0.0,top
J502,I2C,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,9.32,50.28,90.0,top
J503,SPI,JST_SH_BM10B-SRSS-TB_1x10-1MP_P1.00mm_Vertical,-2.525,47.2,90.0,top
J701,Bus_M.2_Socket_M,M.2 M Key socket_2230_2242,35.45,52.125,0.0,top
L701,2.2uH,L_Coilcraft_XAL5030-XXX,43.85,9.54,90.0,top
M702,M.2 Solder Nut,MountingHole_3mm_Pad,35.45,10.5,0.0,top
R102,0R,R_0402_1005Metric,45.78,18.88,90.0,bottom
R104,10k,R_0402_1005Metric,53.54,32.81,90.0,bottom
R20,5.1K,C_0402_1005Metric,-6.48,39.07,180.0,top
R21,5.1K,C_0402_1005Metric,-6.43,37.95,180.0,top
R3,15k,R_0402_1005Metric,-0.8,26.1,0.0,top
R501,2k2,R_0402_1005Metric,12.87,47.43,180.0,top
R502,2k2,R_0402_1005Metric,12.87,50.73,180.0,top
R605,2k2,R_0402_1005Metric,50.64,23.26,180.0,top
R606,2k2,R_0402_1005Metric,52.29,24.65,-90.0,top
R704,100k,R_0402_1005Metric,40.2,8.9,-90.0,top
R705,10k,R_0402_1005Metric,50.15,8.045,90.0,top
R706,2k2,R_0402_1005Metric,50.15,9.925,90.0,top
R707,2k2,R_0402_1005Metric,23.61,55.72,-90.0,top
SW101,MK-11C04-G013,SW-SMD_MK-11C04-G013,52.045,8.47,270.0,bottom
SW501,TS-1010A-B,SW-SMD_TS-1010A-B,56.0375,15.0,0.0,top
U602,SN74LVC1G14DBVR,SOT-353_SC-70-5,51.31,21.37,0.0,top
U701,AP22653W6,SOT-23-6,-3.2875,29.0,90.0,top
U702,AP3441SHE-7B,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,48.415,8.99,180.0,top
U703,ASEK-32.768KHZ-L-R-T,Crystal_SMD_3225-4Pin_3.2x2.5mm,44.25,45.225,90.0,top
